"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J8,J7";"SWITCHCRAFT_PJRAN1X1U01X";2;"PJRAN1X1U01X";;;
2;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
3;"D1,D2";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1N4001";;;
4;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330";;;
5;"F1";"FUSE_3568-15";1;"3568-15";;;
6;"J6";"TE_796683-2";1;"796683-2";;;
7;"J2,J1";"SAMTEC_SSW-115-01-G-S";2;"SSW-115-01-G-S";;;
8;"J3";"SAMTEC_SSQ-108-01-T-D-LL";1;"SSQ-108-01-T-D-LL";;;
9;"J9";"PinSocket_1x10_P2.54mm_Vertical";1;"Conn_01x10_Pin";;;
10;"C2";"CP_Axial_L18.0mm_D8.0mm_P25.00mm_Horizontal";1;"10000uF";;;
11;"J5";"MPD_EJ503B";1;"EJ503B";;;
12;"J4";"SAMTEC-TST-108-01-X-D";1;"SAMTEC-TST-108-01-X-D";;;
