"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","kicad-embed://cmi_1295_05th-3513106.pdf"
"C1,C3,C4","3","4.7nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","kicad-embed://KGM_X7R-3223212.pdf"
"C2","1","2200uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","kicad-embed://ABA0000C1218.pdf"
"D1,D2","2","1N4001","","","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","kicad-embed://TS4148 SERIES_A2301.pdf"
"D3","1","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","kicad-embed://Lite_On_LTST_C170KGKT-1175299.pdf"
"F1","1","Polyfuse","","","","Footprints:FUSE_1812L200_12DR","kicad-embed://1812L300SLPR_Littelfuse.pdf"
"J1,J2","2","SSW-115-01-G-S","","","","Footprints:SAMTEC_SSW-115-01-G-S","kicad-embed://SSW-115-01-G-S_Samtec.pdf"
"J3","1","SSQ-108-01-T-D-LL","","","","Footprints:SAMTEC_SSQ-108-01-T-D-LL","kicad-embed://SSQ-108-01-T-D-LL_Samtec.pdf"
"J4","1","SAMTEC-TST-108-01-X-D","","","","Footprints:SAMTEC-TST-108-01-X-D","kicad-embed://tst-1xx-xx-x-x-xx-xx-mkt.pdf"
"J5,J6","2","PJRAN1X1U01X","","","","Footprints:SWITCHCRAFT_PJRAN1X1U01X","kicad-embed://PJRAN1X1U01X_Switchcraft.pdf"
"J7","1","4DB-P108-02","","","","Footprints:CONN_4DB-P108-02_TEC","4DB-P108-02"
"J8","1","EJ503B","","","","Footprints:MPD_EJ503B","kicad-embed://EJ503B_MPD_(Memory.pdf"
"J9","1","Conn_01x09","","","","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~"
"Q1","1","MMBT2222A","","","","Package_TO_SOT_SMD:SOT-23","kicad-embed://mmbt2222.pdf"
"R1","1","150","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","kicad-embed://crcwce3.pdf"
"R2","1","470","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","kicad-embed://PYu_AC_51_RoHS_L_9-3005297.pdf"
"U1","1","ESP32-DEVKIT-V1","DNP","Excluded from BOM","Excluded from board","Footprints:MODULE_ESP32_DEVKIT_V1",""
